delta ohne ohne_min ohne_max mit mit_min mit_max s_satz s_korollar
2 nan nan nan 6 2 7 7 10
3 5 5 5 5 5 5 7 15
4 7 6 7 6 3 8 7 19
5 7 7 7 nan nan nan 7 24
6 9 7 10 8 5 9 10 28
7 10 9 12 10 9 13 13 33
8 11 9 15 11 7 15 16 37
9 nan nan nan 12 11 17 19 42
10 17 11 17 16 10 19 22 46
11 21 20 22 18 14 21 25 51
12 19 13 21 14 11 23 28 55
13 18 18 18 21 17 29 31 60
14 25 15 30 24 19 29 34 64
15 31 30 32 24 18 31 37 69
16 29 17 33 29 15 29 40 73
17 31 28 34 35 26 43 43 78
18 32 19 33 33 33 33 46 82
19 32 29 36 35 34 38 49 87
20 40 21 48 35 19 40 52 91
21 nan nan nan 40 34 46 55 96
22 38 23 43 38 36 41 58 100
23 46 46 46 38 37 40 61 105
24 44 25 51 23 23 23 64 109
25 51 43 53 48 47 48 67 114
26 38 27 49 48 48 48 70 118
27 50 49 52 44 42 53 73 123
28 53 29 54 27 27 27 76 127
29 58 44 73 nan nan nan 79 132
30 44 31 57 nan nan nan 82 136
32 61 33 69 31 31 31 88 145
33 75 75 75 nan nan nan 91 150
34 50 35 65 nan nan nan 94 154
35 67 67 67 nan nan nan 97 159
36 68 37 81 35 35 35 100 163
37 71 51 79 nan nan nan 103 168
38 68 39 76 nan nan nan 106 172
39 95 95 95 nan nan nan 109 177
40 76 41 79 39 39 39 112 181
41 85 85 85 nan nan nan 115 186
42 62 43 81 nan nan nan 118 190
43 90 88 92 nan nan nan 121 195
44 72 45 85 nan nan nan 124 199
46 68 47 89 nan nan nan 130 208
48 71 49 93 nan nan nan 136 217
50 74 51 97 nan nan nan 142 226
52 74 53 101 nan nan nan 148 235
54 80 55 105 nan nan nan 154 244
56 83 57 109 nan nan nan 160 253
57 110 110 110 nan nan nan 163 258
58 95 59 113 nan nan nan 166 262
60 89 61 117 nan nan nan 172 271
61 92 84 100 nan nan nan 175 276
62 92 63 121 nan nan nan 178 280
64 95 65 125 nan nan nan 184 289
66 118 118 118 nan nan nan 190 298
69 112 104 121 nan nan nan 199 312
