n prisma prisma_min prisma_max prisma_schranke antiprisma antiprisma_min antiprisma_max antiprisma_schranke maximal_planar maximal_planar_min maximal_planar_max maximal_planar_schranke
8 1392 1392 1392 4522 5687 5687 5687 14050 12888 9120 12912 26274
16 9760 9760 9760 34386 41439 41439 41439 111426 244814 144445 303996 451674
32 72000 72000 72000 268450 313775 313775 313775 887938 3455317 2779348 4117496 5992184
64 550528 550528 550528 2122050 2435919 2435919 2435919 7090434 44682263 35458696 68860920 76110408
128 4300032 4300032 4300032 16876162 19183247 19183247 19183247 56672770 572474500 479481750 785600424 960355942
256 33978880 33978880 33978880 134612226 152235279 152235279 152235279 453182466 7389530789 4900712020 8632950984 12356544870
512 270136320 270136320 270136320 1075317250 1212930575 1212930575 1212930575 3624667138 77658650826 53674864768 109627263180 129684020070
1024 2154293248 2154293248 2154293248 8596231170 9683579919 9683579919 9683579919 28994179074 nan nan nan nan
