familie,instanz,verfahren,seed,n_in,m_in,delta_in,n,m,delta_eff,augmentiert,bump,sonderfall_vn,k,k_papier,steigungen,steigungen_schranke,steigungen_strikt,breite,breite_schranke,hoehe,hoehe_schranke,teile,verifiziert,zeit_ms,strategie
maximal_planar,maximal_planar n=16 s=2007,thm4,2007,16,42,11,16,42,12,0,0,0,,,6,6,6,40,68,6215,6545,,1,0.306,
maximal_planar,maximal_planar n=16 s=2007,thm1,2007,16,42,11,16,42,11,0,0,0,11264,11264,22,25,25,384,33792,146480,811008,15,1,3.267,
maximal_planar,maximal_planar n=16 s=2008,thm4,2008,16,42,14,16,42,14,0,0,0,,,7,7,7,41,68,7237,7565,,1,0.286,
maximal_planar,maximal_planar n=16 s=2008,thm1,2008,16,42,14,16,42,14,0,0,0,14336,14336,21,34,34,242,43008,186390,1032192,15,1,2.886,
maximal_planar,maximal_planar n=16 s=2009,thm4,2009,16,42,12,16,42,12,0,0,0,,,6,6,6,38,68,6211,6545,,1,0.279,
maximal_planar,maximal_planar n=16 s=2009,thm1,2009,16,42,12,16,42,12,0,0,0,12288,12288,18,28,28,216,36864,159768,884736,15,1,2.863,
maximal_planar,maximal_planar n=32 s=3000,thm4,3000,32,90,15,32,90,16,0,0,0,,,8,8,8,86,148,36909,37921,,1,0.818,
maximal_planar,maximal_planar n=32 s=3000,thm1,3000,32,90,15,32,90,15,0,0,0,61440,61440,30,37,37,1416,184320,1781878,8847360,31,1,20.148,
maximal_planar,maximal_planar n=32 s=3001,thm4,3001,32,90,18,32,90,18,0,0,0,,,9,9,9,87,148,41584,42509,,1,0.796,
maximal_planar,maximal_planar n=32 s=3001,thm1,3001,32,90,18,32,90,18,0,0,0,73728,73728,31,46,46,1215,221184,2138193,10616832,31,1,19.929,
maximal_planar,maximal_planar n=32 s=3002,thm4,3002,32,90,14,32,90,14,0,0,0,,,7,7,7,85,148,32317,33037,,1,0.802,
maximal_planar,maximal_planar n=32 s=3002,thm1,3002,32,90,14,32,90,14,0,0,0,57344,57344,25,34,34,704,172032,1663040,8257536,31,1,20.004,
maximal_planar,maximal_planar n=32 s=3003,thm4,3003,32,90,16,32,90,16,0,0,0,,,8,8,8,86,148,36993,37921,,1,0.806,
maximal_planar,maximal_planar n=32 s=3003,thm1,3003,32,90,16,32,90,16,0,0,0,65536,65536,30,40,40,832,196608,1900608,9437184,31,1,19.613,
maximal_planar,maximal_planar n=32 s=3004,thm4,3004,32,90,18,32,90,18,0,0,0,,,9,9,9,86,148,41581,42509,,1,0.803,
maximal_planar,maximal_planar n=32 s=3004,thm1,3004,32,90,18,32,90,18,0,0,0,73728,73728,31,46,46,1245,221184,2138195,10616832,31,1,19.489,
maximal_planar,maximal_planar n=32 s=3005,thm4,3005,32,90,16,32,90,16,0,0,0,,,8,8,8,86,148,36993,37921,,1,0.788,
maximal_planar,maximal_planar n=32 s=3005,thm1,3005,32,90,16,32,90,16,0,0,0,65536,65536,33,40,40,1508,196608,1900660,9437184,31,1,19.990,
maximal_planar,maximal_planar n=32 s=3006,thm4,3006,32,90,18,32,90,18,0,0,0,,,9,9,9,87,148,41584,42509,,1,0.819,
maximal_planar,maximal_planar n=32 s=3006,thm1,3006,32,90,18,32,90,18,0,0,0,73728,73728,33,46,46,1530,221184,2138214,10616832,31,1,19.767,
maximal_planar,maximal_planar n=32 s=3007,thm4,3007,32,90,17,32,90,18,0,0,0,,,9,9,9,88,148,41587,42509,,1,0.816,
maximal_planar,maximal_planar n=32 s=3007,thm1,3007,32,90,17,32,90,17,0,0,0,69632,69632,28,43,43,1022,208896,2019401,10027008,31,1,19.761,
maximal_planar,maximal_planar n=32 s=3008,thm4,3008,32,90,16,32,90,16,0,0,0,,,8,8,8,88,148,36999,37921,,1,1.017,
maximal_planar,maximal_planar n=32 s=3008,thm1,3008,32,90,16,32,90,16,0,0,0,65536,65536,29,40,40,1248,196608,1900640,9437184,31,1,19.569,
maximal_planar,maximal_planar n=32 s=3009,thm4,3009,32,90,19,32,90,20,0,0,0,,,10,10,10,88,148,46263,47393,,1,0.825,
maximal_planar,maximal_planar n=32 s=3009,thm1,3009,32,90,19,32,90,19,0,0,0,77824,77824,32,49,49,2016,233472,2257022,11206656,31,1,20.290,
maximal_planar,maximal_planar n=64 s=4000,thm4,4000,64,186,22,64,186,22,0,0,0,,,11,11,11,181,308,214231,216589,,1,2.592,
maximal_planar,maximal_planar n=64 s=4000,thm1,4000,64,186,22,64,186,22,0,0,0,360448,360448,43,58,58,7771,1081344,21987737,103809024,63,1,144.799,
maximal_planar,maximal_planar n=64 s=4001,thm4,4001,64,186,25,64,186,26,0,0,0,,,13,13,13,184,308,253235,256013,,1,2.590,
maximal_planar,maximal_planar n=64 s=4001,thm1,4001,64,186,25,64,186,25,0,0,0,409600,409600,43,67,67,4950,1228800,24985825,117964800,63,1,143.085,
maximal_planar,maximal_planar n=64 s=4002,thm4,4002,64,186,27,64,186,28,0,0,0,,,14,14,14,184,308,272823,276033,,1,2.563,
maximal_planar,maximal_planar n=64 s=4002,thm1,4002,64,186,27,64,186,27,0,0,0,442368,442368,49,73,73,7296,1327104,26984752,127401984,63,1,144.963,
maximal_planar,maximal_planar n=64 s=4003,thm4,4003,64,186,23,64,186,24,0,0,0,,,12,12,12,182,308,233821,236609,,1,2.606,
maximal_planar,maximal_planar n=64 s=4003,thm1,4003,64,186,23,64,186,23,0,0,0,376832,376832,46,61,61,7040,1130496,22987104,108527616,63,1,144.448,
maximal_planar,maximal_planar n=64 s=4004,thm4,4004,64,186,25,64,186,26,0,0,0,,,13,13,13,182,308,253225,256013,,1,2.581,
maximal_planar,maximal_planar n=64 s=4004,thm1,4004,64,186,25,64,186,25,0,0,0,409600,409600,52,67,67,3542,1228800,24985761,117964800,63,1,143.334,
maximal_planar,maximal_planar n=64 s=4005,thm4,4005,64,186,19,64,186,20,0,0,0,,,10,10,10,181,308,194827,197185,,1,2.750,
maximal_planar,maximal_planar n=64 s=4005,thm1,4005,64,186,19,64,186,19,0,0,0,311296,311296,36,49,49,3552,933888,18989278,89653248,63,1,144.017,
maximal_planar,maximal_planar n=64 s=4006,thm4,4006,64,186,37,64,186,38,0,0,0,,,19,19,19,185,308,370219,374285,,1,2.636,
maximal_planar,maximal_planar n=64 s=4006,thm1,4006,64,186,37,64,186,37,0,0,0,606208,606208,54,103,103,10472,1818624,36978996,174587904,63,1,143.969,
maximal_planar,maximal_planar n=64 s=4007,thm4,4007,64,186,25,64,186,26,0,0,0,,,13,13,13,183,308,253230,256013,,1,2.614,
maximal_planar,maximal_planar n=64 s=4007,thm1,4007,64,186,25,64,186,25,0,0,0,409600,409600,45,67,67,5214,1228800,24985837,117964800,63,1,142.925,
maximal_planar,maximal_planar n=64 s=4008,thm4,4008,64,186,24,64,186,24,0,0,0,,,12,12,12,183,308,233826,236609,,1,2.588,
maximal_planar,maximal_planar n=64 s=4008,thm1,4008,64,186,24,64,186,24,0,0,0,393216,393216,43,64,64,3444,1179648,23986340,113246208,63,1,144.368,
maximal_planar,maximal_planar n=64 s=4009,thm4,4009,64,186,20,64,186,20,0,0,0,,,10,10,10,181,308,194827,197185,,1,2.605,
maximal_planar,maximal_planar n=64 s=4009,thm1,4009,64,186,20,64,186,20,0,0,0,327680,327680,43,52,52,3927,983040,19988711,94371840,63,1,144.060,
maximal_planar,maximal_planar n=128 s=5000,thm4,5000,128,378,38,128,378,38,0,0,0,,,19,19,19,374,628,1518483,1526797,,1,9.121,
maximal_planar,maximal_planar n=128 s=5000,thm1,5000,128,378,38,128,378,38,0,0,0,2490368,2490368,65,106,106,17290,7471104,311296494,1434451968,127,1,1094.965,
maximal_planar,maximal_planar n=128 s=5001,thm4,5001,128,378,35,128,378,36,0,0,0,,,18,18,18,376,628,1438743,1447041,,1,9.100,
maximal_planar,maximal_planar n=128 s=5001,thm1,5001,128,378,35,128,378,35,0,0,0,2293760,2293760,67,97,97,16000,6881280,286720500,1321205760,127,1,1086.892,
maximal_planar,maximal_planar n=128 s=5002,thm4,5002,128,378,38,128,378,38,0,0,0,,,19,19,19,376,628,1518499,1526797,,1,9.171,
maximal_planar,maximal_planar n=128 s=5002,thm1,5002,128,378,38,128,378,38,0,0,0,2490368,2490368,76,106,106,24220,7471104,311296692,1434451968,127,1,1117.731,
maximal_planar,maximal_planar n=128 s=5003,thm4,5003,128,378,37,128,378,38,0,0,0,,,19,19,19,376,628,1518499,1526797,,1,10.110,
maximal_planar,maximal_planar n=128 s=5003,thm1,5003,128,378,37,128,378,37,0,0,0,2424832,2424832,72,103,103,29410,7274496,303104865,1396703232,127,1,1106.178,
maximal_planar,maximal_planar n=128 s=5004,thm4,5004,128,378,52,128,378,52,0,0,0,,,26,26,26,377,628,2078307,2090113,,1,9.444,
maximal_planar,maximal_planar n=128 s=5004,thm1,5004,128,378,52,128,378,52,0,0,0,3407872,3407872,74,148,148,43218,10223616,425984882,1962934272,127,1,1104.011,
maximal_planar,maximal_planar n=128 s=5005,thm4,5005,128,378,40,128,378,40,0,0,0,,,20,20,20,376,628,1598631,1607809,,1,9.059,
maximal_planar,maximal_planar n=128 s=5005,thm1,5005,128,378,40,128,378,40,0,0,0,2621440,2621440,76,112,112,29452,7864320,327680796,1509949440,127,1,1105.928,
maximal_planar,maximal_planar n=128 s=5006,thm4,5006,128,378,41,128,378,42,0,0,0,,,21,21,21,376,628,1678387,1687565,,1,9.038,
maximal_planar,maximal_planar n=128 s=5006,thm1,5006,128,378,41,128,378,41,0,0,0,2686976,2686976,85,115,115,41192,8060928,335873084,1547698176,127,1,1108.226,
maximal_planar,maximal_planar n=128 s=5007,thm4,5007,128,378,32,128,378,32,0,0,0,,,16,16,16,374,628,1278617,1286273,,1,9.071,
maximal_planar,maximal_planar n=128 s=5007,thm1,5007,128,378,32,128,378,32,0,0,0,2097152,2097152,69,88,88,19111,6291456,262144659,1207959552,127,1,1105.554,
maximal_planar,maximal_planar n=128 s=5008,thm4,5008,128,378,44,128,378,44,0,0,0,,,22,22,22,376,628,1755589,1768577,,1,9.066,
maximal_planar,maximal_planar n=128 s=5008,thm1,5008,128,378,44,128,378,44,0,0,0,2883584,2883584,65,124,124,19926,8650752,360448486,1660944384,127,1,1147.962,
maximal_planar,maximal_planar n=128 s=5009,thm4,5009,128,378,38,128,378,38,0,0,0,,,19,19,19,376,628,1518499,1526797,,1,9.783,
maximal_planar,maximal_planar n=128 s=5009,thm1,5009,128,378,38,128,378,38,0,0,0,2490368,2490368,70,106,106,25865,7471104,311296739,1434451968,127,1,1158.508,
maximal_planar,maximal_planar n=256 s=6000,thm4,6000,256,762,39,256,762,40,0,0,0,,,20,20,20,756,1268,6473859,6492417,,1,33.856,
maximal_planar,maximal_planar n=256 s=6000,thm1,6000,256,762,39,256,762,39,0,0,0,10223616,10223616,95,109,109,70848,30670848,2586576816,11777605632,255,1,8595.474,
maximal_planar,maximal_planar n=256 s=6001,thm4,6001,256,762,61,256,762,62,0,0,0,,,31,31,31,759,1268,10034421,10061837,,1,34.120,
maximal_planar,maximal_planar n=256 s=6001,thm1,6001,256,762,61,256,762,61,0,0,0,15990784,15990784,100,175,175,157934,47972352,4045671075,18421383168,255,1,8631.223,
maximal_planar,maximal_planar n=256 s=6002,thm4,6002,256,762,57,256,762,58,0,0,0,,,29,29,29,761,1268,9387008,9412621,,1,35.139,
maximal_planar,maximal_planar n=256 s=6002,thm1,6002,256,762,57,256,762,57,0,0,0,14942208,14942208,110,163,163,102924,44826624,3780380530,17213423616,255,1,8727.555,
maximal_planar,maximal_planar n=256 s=6003,thm4,6003,256,762,61,256,762,62,0,0,0,,,31,31,31,761,1268,10034449,10061837,,1,37.647,
maximal_planar,maximal_planar n=256 s=6003,thm1,6003,256,762,61,256,762,61,0,0,0,15990784,15990784,84,175,175,91002,47972352,4045669921,18421383168,255,1,8697.169,
maximal_planar,maximal_planar n=256 s=6004,thm4,6004,256,762,58,256,762,58,0,0,0,,,29,29,29,761,1268,9387008,9412621,,1,34.169,
maximal_planar,maximal_planar n=256 s=6004,thm1,6004,256,762,58,256,762,58,0,0,0,15204352,15204352,95,166,166,78870,45613056,3846702490,17515413504,255,1,8556.988,
maximal_planar,maximal_planar n=256 s=6005,thm4,6005,256,762,69,256,762,70,0,0,0,,,35,35,35,760,1268,11329315,11360269,,1,34.163,
maximal_planar,maximal_planar n=256 s=6005,thm1,6005,256,762,69,256,762,69,0,0,0,18087936,18087936,121,199,199,90618,54263808,4576249181,20837302272,255,1,8610.055,
maximal_planar,maximal_planar n=256 s=6006,thm4,6006,256,762,43,256,762,44,0,0,0,,,22,22,22,759,1268,7121325,7141633,,1,33.843,
maximal_planar,maximal_planar n=256 s=6006,thm1,6006,256,762,43,256,762,43,0,0,0,11272192,11272192,92,121,121,66120,33816576,2851866229,12985565184,255,1,8568.918,
maximal_planar,maximal_planar n=256 s=6007,thm4,6007,256,762,43,256,762,44,0,0,0,,,22,22,22,759,1268,7121325,7141633,,1,35.102,
maximal_planar,maximal_planar n=256 s=6007,thm1,6007,256,762,43,256,762,43,0,0,0,11272192,11272192,88,121,121,75560,33816576,2851866465,12985565184,255,1,8593.175,
maximal_planar,maximal_planar n=256 s=6008,thm4,6008,256,762,66,256,762,66,0,0,0,,,33,33,33,761,1268,10681890,10711053,,1,34.476,
maximal_planar,maximal_planar n=256 s=6008,thm1,6008,256,762,66,256,762,66,0,0,0,17301504,17301504,118,190,190,244629,51904512,4377284395,19931332608,255,1,8704.827,
maximal_planar,maximal_planar n=256 s=6009,thm4,6009,256,762,69,256,762,70,0,0,0,,,35,35,35,761,1268,11329331,11360269,,1,34.556,
maximal_planar,maximal_planar n=256 s=6009,thm1,6009,256,762,69,256,762,69,0,0,0,18087936,18087936,104,199,199,358380,54263808,4576253238,20837302272,255,1,8764.434,
maximal_planar,maximal_planar n=512 s=7000,thm4,7000,512,1530,69,512,1530,70,0,0,0,,,35,35,35,1528,2548,45595939,45658125,,1,131.434,
maximal_planar,maximal_planar n=512 s=7001,thm4,7001,512,1530,77,512,1530,78,0,0,0,,,39,39,39,1528,2548,50807107,50876429,,1,129.825,
maximal_planar,maximal_planar n=512 s=7002,thm4,7002,512,1530,54,512,1530,54,0,0,0,,,27,27,27,1525,2548,35173567,35221517,,1,132.755,
maximal_planar,maximal_planar n=512 s=7003,thm4,7003,512,1530,83,512,1530,84,0,0,0,,,42,42,42,1528,2548,54716247,54792705,,1,131.327,
maximal_planar,maximal_planar n=512 s=7004,thm4,7004,512,1530,79,512,1530,80,0,0,0,,,40,40,40,1526,2548,52084291,52183553,,1,132.131,
maximal_planar,maximal_planar n=512 s=7005,thm4,7005,512,1530,110,512,1530,110,0,0,0,,,55,55,55,1529,2548,71651805,71749645,,1,130.884,
maximal_planar,maximal_planar n=512 s=7006,thm4,7006,512,1530,55,512,1530,56,0,0,0,,,28,28,28,1525,2548,36477120,36528641,,1,133.505,
maximal_planar,maximal_planar n=512 s=7007,thm4,7007,512,1530,95,512,1530,96,0,0,0,,,48,48,48,1527,2548,62532976,62620161,,1,134.032,
maximal_planar,maximal_planar n=512 s=7008,thm4,7008,512,1530,68,512,1530,68,0,0,0,,,34,34,34,1526,2548,44293879,44356097,,1,133.698,
maximal_planar,maximal_planar n=512 s=7009,thm4,7009,512,1530,77,512,1530,78,0,0,0,,,39,39,39,1527,2548,50807089,50876429,,1,135.373,
dichte,random n=32 m=32 s=90000,thm4,90000,32,32,8,32,44,8,1,0,0,,,4,4,5,43,56,6975,7201,,1,3.316,
dichte,random n=32 m=32 s=90000,thm1,90000,32,32,8,32,62,8,1,0,0,32768,32768,11,16,37,405,98304,720977,4718592,24,1,19.547,
dichte,random n=32 m=32 s=90001,thm4,90001,32,32,6,32,47,6,1,0,0,,,3,3,4,44,62,5797,5923,,1,3.672,
dichte,random n=32 m=32 s=90001,thm1,90001,32,32,6,32,63,6,1,0,0,24576,24576,9,10,28,321,73728,540672,3538944,24,1,19.773,
dichte,random n=32 m=32 s=90002,thm4,90002,32,32,10,32,46,10,1,0,0,,,5,5,6,45,60,9333,9573,,1,4.132,
dichte,random n=32 m=32 s=90002,thm1,90002,32,32,10,32,57,10,1,0,0,40960,40960,10,22,46,602,122880,860160,5898240,23,1,17.773,
dichte,random n=32 m=32 s=90003,thm4,90003,32,32,6,32,46,6,1,0,0,,,3,3,4,43,60,5611,5733,,1,2.808,
dichte,random n=32 m=32 s=90003,thm1,90003,32,32,6,32,66,6,1,0,0,24576,24576,8,10,28,303,73728,540672,3538944,24,1,20.541,
dichte,random n=32 m=32 s=90004,thm4,90004,32,32,8,32,44,8,1,0,0,,,4,4,5,42,56,6975,7201,,1,3.077,
dichte,random n=32 m=32 s=90004,thm1,90004,32,32,8,32,59,8,1,0,0,32768,32768,9,16,37,360,98304,589896,4718592,20,1,15.618,
dichte,random n=32 m=32 s=90005,thm4,90005,32,32,4,32,46,4,1,0,0,,,2,2,3,29,60,3751,3873,,1,3.109,
dichte,random n=32 m=32 s=90005,thm1,90005,32,32,4,32,63,6,1,0,0,24576,24576,8,10,19,342,73728,466944,3538944,21,1,19.253,
dichte,random n=32 m=32 s=90006,thm4,90006,32,32,7,32,48,8,1,0,0,,,4,4,5,47,64,7969,8225,,1,3.917,
dichte,random n=32 m=32 s=90006,thm1,90006,32,32,7,32,61,7,1,0,0,28672,28672,9,13,33,368,86016,602204,4128768,23,1,18.664,
dichte,random n=32 m=32 s=90007,thm4,90007,32,32,8,32,46,8,1,0,0,,,4,4,5,44,60,7471,7713,,1,3.026,
dichte,random n=32 m=32 s=90007,thm1,90007,32,32,8,32,66,8,1,0,0,32768,32768,9,16,37,320,98304,720896,4718592,24,1,18.302,
dichte,random n=32 m=32 s=90008,thm4,90008,32,32,7,32,48,8,1,0,0,,,4,4,5,45,64,7967,8225,,1,4.056,
dichte,random n=32 m=32 s=90008,thm1,90008,32,32,7,32,59,7,1,0,0,28672,28672,10,13,33,380,86016,544863,4128768,21,1,17.676,
dichte,random n=32 m=32 s=90009,thm4,90009,32,32,8,32,48,8,1,0,0,,,4,4,5,47,64,7967,8225,,1,3.354,
dichte,random n=32 m=32 s=90009,thm1,90009,32,32,8,32,69,8,1,0,0,32768,32768,11,16,37,725,98304,720896,4718592,24,1,20.945,
dichte,random n=32 m=48 s=90100,thm4,90100,32,48,10,32,55,10,1,0,0,,,5,5,6,53,78,12174,12435,,1,1.569,
dichte,random n=32 m=48 s=90100,thm1,90100,32,48,10,32,66,10,1,0,0,40960,40960,15,22,46,756,122880,983148,5898240,26,1,18.545,
dichte,random n=32 m=48 s=90101,thm4,90101,32,48,14,32,55,14,1,0,0,,,7,7,8,52,78,17053,17427,,1,1.503,
dichte,random n=32 m=48 s=90101,thm1,90101,32,48,14,32,70,14,1,0,0,57344,57344,20,34,64,704,172032,1318976,8257536,25,1,17.473,
dichte,random n=32 m=48 s=90102,thm4,90102,32,48,10,32,54,10,1,0,0,,,5,5,6,53,76,11813,12117,,1,1.363,
dichte,random n=32 m=48 s=90102,thm1,90102,32,48,10,32,70,10,1,0,0,40960,40960,15,22,46,749,122880,901120,5898240,24,1,18.007,
dichte,random n=32 m=48 s=90103,thm4,90103,32,48,10,32,52,10,1,0,0,,,5,5,6,49,72,11195,11481,,1,1.038,
dichte,random n=32 m=48 s=90103,thm1,90103,32,48,10,32,65,10,1,0,0,40960,40960,13,22,46,658,122880,942174,5898240,25,1,16.597,
dichte,random n=32 m=48 s=90104,thm4,90104,32,48,11,32,57,12,1,0,0,,,6,6,7,56,82,15391,15777,,1,1.827,
dichte,random n=32 m=48 s=90104,thm1,90104,32,48,11,32,67,11,1,0,0,45056,45056,14,25,51,1000,135168,946301,6488064,23,1,17.581,
dichte,random n=32 m=48 s=90105,thm4,90105,32,48,12,32,53,12,1,0,0,,,6,6,7,52,74,13899,14241,,1,1.200,
dichte,random n=32 m=48 s=90105,thm1,90105,32,48,12,32,66,12,1,0,0,49152,49152,13,28,55,999,147456,1081455,7077888,24,1,16.930,
dichte,random n=32 m=48 s=90106,thm4,90106,32,48,10,32,57,10,1,0,0,,,5,5,6,54,82,12760,13071,,1,1.842,
dichte,random n=32 m=48 s=90106,thm1,90106,32,48,10,32,69,11,1,0,0,45056,45056,17,25,46,944,135168,1036406,6488064,25,1,17.451,
dichte,random n=32 m=48 s=90107,thm4,90107,32,48,10,32,53,10,1,0,0,,,5,5,6,50,74,11503,11799,,1,1.288,
dichte,random n=32 m=48 s=90107,thm1,90107,32,48,10,32,69,10,1,0,0,40960,40960,18,22,46,742,122880,901120,5898240,24,1,17.455,
dichte,random n=32 m=48 s=90108,thm4,90108,32,48,8,32,52,8,1,0,0,,,4,4,5,49,72,9001,9249,,1,1.040,
dichte,random n=32 m=48 s=90108,thm1,90108,32,48,8,32,67,8,1,0,0,32768,32768,13,16,37,285,98304,720953,4718592,24,1,15.772,
dichte,random n=32 m=48 s=90109,thm4,90109,32,48,12,32,54,12,1,0,0,,,6,6,7,53,76,14173,14625,,1,1.322,
dichte,random n=32 m=48 s=90109,thm1,90109,32,48,12,32,71,12,1,0,0,49152,49152,15,28,55,1116,147456,1179772,7077888,26,1,20.189,
dichte,random n=32 m=64 s=90200,thm4,90200,32,64,17,32,66,18,1,0,0,,,9,9,10,65,100,28017,28733,,1,0.920,
dichte,random n=32 m=64 s=90200,thm1,90200,32,64,17,32,75,17,1,0,0,69632,69632,26,43,78,1008,208896,1880136,10027008,29,1,18.829,
dichte,random n=32 m=64 s=90201,thm4,90201,32,64,9,32,64,10,0,0,0,,,5,5,5,62,96,14915,15297,,1,0.552,
dichte,random n=32 m=64 s=90201,thm1,90201,32,64,9,32,69,9,1,0,0,36864,36864,13,19,42,750,110592,847997,5308416,25,1,16.550,
dichte,random n=32 m=64 s=90202,thm4,90202,32,64,13,32,65,14,1,0,0,,,7,7,8,63,98,21423,21887,,1,0.726,
dichte,random n=32 m=64 s=90202,thm1,90202,32,64,13,32,75,14,1,0,0,57344,57344,25,34,60,1133,172032,1491047,8257536,28,1,18.773,
dichte,random n=32 m=64 s=90203,thm4,90203,32,64,14,32,67,14,1,0,0,,,7,7,8,64,102,22293,22779,,1,1.085,
dichte,random n=32 m=64 s=90203,thm1,90203,32,64,14,32,78,15,1,0,0,61440,61440,19,37,64,1080,184320,1536090,8847360,27,1,18.255,
dichte,random n=32 m=64 s=90204,thm4,90204,32,64,14,32,68,14,1,0,0,,,7,7,8,66,104,22731,23225,,1,1.272,
dichte,random n=32 m=64 s=90204,thm1,90204,32,64,14,32,77,15,1,0,0,61440,61440,28,37,64,1272,184320,1597440,8847360,28,1,20.055,
dichte,random n=32 m=64 s=90205,thm4,90205,32,64,16,32,68,16,1,0,0,,,8,8,9,66,104,25827,26657,,1,1.254,
dichte,random n=32 m=64 s=90205,thm1,90205,32,64,16,32,79,16,1,0,0,65536,65536,29,40,73,1105,196608,1769557,9437184,29,1,20.303,
dichte,random n=32 m=64 s=90206,thm4,90206,32,64,10,32,64,10,0,0,0,,,5,5,5,59,96,14970,15297,,1,0.530,
dichte,random n=32 m=64 s=90206,thm1,90206,32,64,10,32,73,10,1,0,0,40960,40960,19,22,46,665,122880,1024095,5898240,27,1,18.289,
dichte,random n=32 m=64 s=90207,thm4,90207,32,64,12,32,66,12,1,0,0,,,6,6,7,63,100,18757,19233,,1,0.897,
dichte,random n=32 m=64 s=90207,thm1,90207,32,64,12,32,77,13,1,0,0,53248,53248,23,31,55,750,159744,1331275,7667712,27,1,18.680,
dichte,random n=32 m=64 s=90208,thm4,90208,32,64,13,32,67,14,1,0,0,,,7,7,8,66,102,22297,22779,,1,1.079,
dichte,random n=32 m=64 s=90208,thm1,90208,32,64,13,32,80,14,1,0,0,57344,57344,21,34,60,1661,172032,1548288,8257536,29,1,21.069,
dichte,random n=32 m=64 s=90209,thm4,90209,32,64,12,32,65,12,1,0,0,,,6,6,7,62,98,18285,18849,,1,0.738,
dichte,random n=32 m=64 s=90209,thm1,90209,32,64,12,32,74,12,1,0,0,49152,49152,19,28,55,936,147456,1228904,7077888,27,1,17.911,
dichte,random n=32 m=90 s=90300,thm4,90300,32,90,15,32,90,16,0,0,0,,,8,8,8,85,148,36990,37921,,1,0.812,
dichte,random n=32 m=90 s=90300,thm1,90300,32,90,15,32,90,15,0,0,0,61440,61440,31,37,37,1008,184320,1781844,8847360,31,1,19.516,
dichte,random n=32 m=90 s=90301,thm4,90301,32,90,18,32,90,18,0,0,0,,,9,9,9,87,148,41584,42509,,1,0.801,
dichte,random n=32 m=90 s=90301,thm1,90301,32,90,18,32,90,18,0,0,0,73728,73728,32,46,46,1710,221184,2138226,10616832,31,1,20.076,
dichte,random n=32 m=90 s=90302,thm4,90302,32,90,17,32,90,18,0,0,0,,,9,9,9,86,148,41581,42509,,1,0.808,
dichte,random n=32 m=90 s=90302,thm1,90302,32,90,17,32,90,17,0,0,0,69632,69632,34,43,43,1820,208896,2019458,10027008,31,1,19.457,
dichte,random n=32 m=90 s=90303,thm4,90303,32,90,18,32,90,18,0,0,0,,,9,9,9,87,148,41584,42509,,1,1.013,
dichte,random n=32 m=90 s=90303,thm1,90303,32,90,18,32,90,18,0,0,0,73728,73728,29,46,46,1050,221184,2138182,10616832,31,1,19.603,
dichte,random n=32 m=90 s=90304,thm4,90304,32,90,15,32,90,16,0,0,0,,,8,8,8,87,148,36996,37921,,1,0.820,
dichte,random n=32 m=90 s=90304,thm1,90304,32,90,15,32,90,15,0,0,0,61440,61440,32,37,37,960,184320,1781840,8847360,31,1,19.757,
dichte,random n=32 m=90 s=90305,thm4,90305,32,90,18,32,90,18,0,0,0,,,9,9,9,87,148,41584,42509,,1,0.805,
dichte,random n=32 m=90 s=90305,thm1,90305,32,90,18,32,90,18,0,0,0,73728,73728,33,46,46,1860,221184,2138236,10616832,31,1,19.984,
dichte,random n=32 m=90 s=90306,thm4,90306,32,90,14,32,90,14,0,0,0,,,7,7,7,85,148,32241,33037,,1,0.808,
dichte,random n=32 m=90 s=90306,thm1,90306,32,90,14,32,90,14,0,0,0,57344,57344,30,34,34,1144,172032,1663080,8257536,31,1,19.919,
dichte,random n=32 m=90 s=90307,thm4,90307,32,90,14,32,90,14,0,0,0,,,7,7,7,85,148,32313,33037,,1,0.851,
dichte,random n=32 m=90 s=90307,thm1,90307,32,90,14,32,90,14,0,0,0,57344,57344,27,34,34,1386,172032,1663102,8257536,31,1,19.854,
dichte,random n=32 m=90 s=90308,thm4,90308,32,90,19,32,90,20,0,0,0,,,10,10,10,89,148,46267,47393,,1,0.826,
dichte,random n=32 m=90 s=90308,thm1,90308,32,90,19,32,90,19,0,0,0,77824,77824,29,49,49,1584,233472,2256995,11206656,31,1,19.866,
dichte,random n=32 m=90 s=90309,thm4,90309,32,90,17,32,90,18,0,0,0,,,9,9,9,86,148,41578,42509,,1,0.813,
dichte,random n=32 m=90 s=90309,thm1,90309,32,90,17,32,90,17,0,0,0,69632,69632,31,43,43,1120,208896,2019408,10027008,31,1,19.666,
dichte,random n=64 m=64 s=91000,thm4,91000,64,64,9,64,94,10,1,0,0,,,5,5,6,92,124,39125,39621,,1,19.287,
dichte,random n=64 m=64 s=91000,thm1,91000,64,64,9,64,124,9,1,0,0,147456,147456,17,19,42,2652,442368,5751226,42467328,41,1,121.506,
dichte,random n=64 m=64 s=91001,thm4,91001,64,64,11,64,99,12,1,0,0,,,6,6,7,98,134,50911,51521,,1,25.268,
dichte,random n=64 m=64 s=91001,thm1,91001,64,64,11,64,127,11,1,0,0,180224,180224,15,25,51,2992,540672,8290678,51904512,48,1,139.177,
dichte,random n=64 m=64 s=91002,thm4,91002,64,64,8,64,88,8,1,0,0,,,4,4,5,85,112,28289,28737,,1,17.161,
