k breite hoehe flaeche
6 70 50 3621
9 70 68 4899
14 70 98 7029
22 70 146 10437
34 70 218 15549
52 70 326 23217
81 70 500 35571
125 70 764 54315
192 70 1166 82857
297 70 1796 127587
458 70 2762 196173
706 70 4250 301821
1089 70 6548 464979
1680 70 10094 716745
2592 70 15566 1105257
