k breite hoehe flaeche
3 82 89 7470
5 76 98 7623
9 74 127 9600
15 74 172 12975
25 72 236 17301
43 72 380 27813
73 72 620 45333
124 72 1028 75117
211 72 1724 125925
359 72 2908 212357
611 72 4924 359525
1039 72 8348 609477
1768 72 14180 1035213
3009 72 24108 1759957
5120 72 40996 2992781
