k breite hoehe flaeche
3 52 53 2862
5 52 71 3816
8 52 98 5247
14 52 152 8109
22 52 224 11925
37 52 359 19080
61 52 575 30528
101 52 935 49608
166 52 1520 80613
275 52 2501 132606
454 52 4112 217989
750 52 6776 359181
1239 52 11177 592434
2046 52 18440 977373
3380 52 30446 1613691
