idx n papier minimal quadratisch fl_minimal fl_quadratisch
1 4 0.0216049 1 1 0.021604938271604937 0.021604938271604937
2 5 0.0129096 1 1 0.012909632571996028 0.012909632571996028
3 5 0.012987 1.85714 1 0.006993006993006993 0.012987012987012988
4 6 0.00691882 0.882353 0.882353 0.007841328413284132 0.007841328413284132
5 6 0.00691882 0.882353 0.882353 0.007841328413284132 0.007841328413284132
6 8 0.00409277 0.851852 0.851852 0.005763287579697636 0.005763287579697636
7 8 0.00648845 1.13636 1 0.0057098364910459385 0.006488450558006748
8 8 0.00364109 0.933333 0.933333 0.0039011703511053317 0.0039011703511053317
9 8 0.00323372 0.878788 0.878788 0.0036797502230151652 0.0036797502230151652
10 8 0.00480957 1.12121 0.973684 0.004289613934745873 0.004939555440010399
11 8 0.0032514 0.862069 0.862069 0.00377162179737287 0.00377162179737287
12 8 0.00323372 0.878788 0.878788 0.0036797502230151652 0.0036797502230151652
13 8 0.00367934 0.970588 0.970588 0.003790835098673208 0.003790835098673208
14 8 0.00323372 0.878788 0.878788 0.0036797502230151652 0.0036797502230151652
15 8 0.00403069 1 1 0.005741943872393791 0.005741943872393791
16 8 0.00367934 0.970588 0.970588 0.003790835098673208 0.003790835098673208
17 8 0.00412486 1.05714 1.05714 0.0039018952062430325 0.0039018952062430325
18 9 0.00456093 1.39216 1.02899 0.0032761611100404703 0.004432453266525342
19 9 0.00415768 1.03846 1.03846 0.004003695719125347 0.004003695719125347
20 9 0.00456093 1.39216 1.02899 0.0032761611100404703 0.004432453266525342
21 9 0.00456504 1.91892 0.972603 0.002378962258085257 0.004693628238924967
22 10 0.00249866 1.03704 1.03704 0.0024094235231126183 0.0024094235231126183
23 12 0.00173437 0.768116 0.768116 0.003132146252473085 0.003132146252473085
24 13 0.00174073 0.981481 0.981481 0.0017735737511084836 0.0017735737511084836
25 13 0.00245246 1.61789 0.980296 0.0015158424016859125 0.002501756158880002
26 13 0.00245313 1.9703 0.99005 0.0012450536852356357 0.0024777801062610175
27 14 0.00148784 1.20312 1.02667 0.0012366432863795335 0.0014491913512260158
28 16 0.00178062 0.922222 0.922222 0.002496006222974551 0.002496006222974551
29 16 0.00132289 1.05172 1.05172 0.0012578343562273644 0.0012578343562273644
30 16 0.00225746 1.30645 0.975904 0.001727934004069006 0.002313201973189153
31 16 0.00126679 1.23864 0.973214 0.0010227325554367534 0.0013016596160104132
32 16 0.00116629 1.22857 0.977273 0.0009493070058857034 0.0011934145216848844
33 16 0.00161967 1.5 0.966887 0.0012327581778885856 0.0016751347873355373
34 16 0.00305262 2.17143 0.837838 0.002470246632560616 0.004260711109093273
35 16 0.0029691 2.44966 1 0.001212042332001985 0.002969096987790097
36 16 0.00221533 1.47009 0.946108 0.0020491262333393622 0.0026867543625965222
37 16 0.00370261 2.2038 0.863118 0.0026894340022305557 0.0048419057735501585
38 16 0.00186509 1.73797 0.957576 0.001276414481468877 0.0021901193274796297
39 16 0.0018639 1.65464 0.968085 0.0015574149133244356 0.0019253483719882294
40 16 0.00219153 1.62132 0.871212 0.00255120222150604 0.002905706011589262
41 17 0.0015098 1.72247 0.989873 0.0008765324838304856 0.0015252437493966599
42 17 0.00150997 1.98477 0.994911 0.0007607793160709803 0.001517696808202514
43 18 0.000964432 1.28205 1.02041 0.0007522567703109327 0.0009451431216727104
44 21 0.00101877 1.78237 0.993856 0.0005715824330516361 0.0010250693220843392
45 21 0.00101883 1.99077 0.996918 0.0005117779796895004 0.001021981257903033
46 22 0.00067146 1.32796 1.01646 0.0005056340134020199 0.0006605863723478001
47 25 0.000578655 1.0885 0.946154 0.0005316096009634836 0.0006115862665951581
48 25 0.00073255 1.82109 0.995881 0.00040225840443559966 0.0007355798695046464
49 25 0.000732575 1.99381 0.997936 0.0003674239640727545 0.0007340903529618538
50 26 0.000493085 1.35793 1.01377 0.0003631140446080914 0.00048638523318353204
51 29 0.000551643 1.84815 0.997048 0.00029848345090968036 0.000553276437732718
52 30 0.000376978 1.37903 1.01183 0.0002733643881157037 0.0003725692063834994
53 32 0.000832782 1.02147 1.02147 0.0012130193115315912 0.0012130193115315912
54 32 0.000940311 1.52105 0.979661 0.0006181977907563162 0.0009598334119637541
55 32 0.000654232 2.30279 0.93835 0.00036997661308432896 0.00072782770540698
56 32 0.000448534 1.65721 0.937589 0.00034488187787831833 0.0005420040924335911
57 32 0.000802421 2.30682 0.849782 0.0005690480644528312 0.0010490115574219928
58 32 0.000634577 1.96066 0.92161 0.00041431482939505984 0.0007439172259911429
59 32 0.000611636 1.83542 0.892289 0.0005448434567976033 0.0007673688728822714
60 32 0.000589286 2.17956 1.02462 0.00028387725050603446 0.0005751282846024039
61 32 0.000574662 1.76841 0.937974 0.00042829153158751963 0.0006746184831167925
62 32 0.000790812 2.30414 0.891921 0.0005101362024544886 0.0009660695322495001
63 32 0.000744077 1.81008 0.871084 0.0006567555712156244 0.0009706651458284422
64 32 0.000613407 1.73286 0.953752 0.0004359804849076105 0.0006431510585615416
65 33 0.000430195 1.86812 0.997781 0.0002302823433703435 0.0004311516771513285
66 34 0.000297358 1.39468 1.01037 0.0002132086462428189 0.00029430641352536357
67 36 0.000350247 1.20106 0.949791 0.0002916153639637471 0.0003687622856472781
